clean_line1,clean_line2,line3,city,zip_code,label,phone,year,major_city,state,chain,Address_Type,Exit_Number,Exit_From_Address,Exit_From_Label,Main_Road,Secondary_Road,Exit_Number_2,Exit_Number_3,Tertiary_Road,Scraped_phone_match_rate,Yelp_phone_match_rate,place_identifier(year),Yellowbook_phone_match_rate,Webscraped_Phone_full_url,Webscraped_PlacedMatched_full_url,Yelp_URL,YellowPages_SEARCH_URL,Match_Comments,Final_Lat,Final_Long
"Coalville , 84017 Holiday Hills ( 66 )",435-336-4421 I-80 Exit 162 ( UT 280 ),MO,Coalville,84017,Holiday Hills ( 66 ),435-336-4421,2006,Coalville,UT,,Exit,162,162,,I-80,,,,,True,True,1,True,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.yelp.com/biz/holiday-hills-rv-park-coalville?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421,,40.911066,-111.403867
"Coalville , 84017 Hills ( 66 )",435-336-4421 I-80 Holiday Exit 162 ( UT 280 ),M <U+25A1>,Coalville,84017,Hills ( 66 ),435-336-4421,2007,Coalville,UT,,Exit,162,162,,I-80,,,,,True,True,1,True,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.yelp.com/biz/holiday-hills-rv-park-coalville?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421,,40.911066,-111.403867
"D Coalville , 84017 Holiday Hills ( 66 ) )",4 435-336-4421 I-80 Exit 162 ( UT 280 ),M <U+2610> <U+2610> <U+2610>,Coalville,84017,Holiday Hills ( 66 ) ),435-336-4421,2008,Coalville,UT,,Exit,162,162,,I-80,,,,,True,True,1,True,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.yelp.com/biz/holiday-hills-rv-park-coalville?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421,,40.911066,-111.403867
D Coalville ( 84017 ) Holiday Hills ( 66 ),435-336-4421 I-80 Exit 162 ( UT 280 ),M <U+25A1> <U+2610>,Coalville,84017,Holiday Hills ( 66 ),435-336-4421,2014,Coalville,UT,,Exit,162,162,,I-80,,,,,True,True,1,True,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.yelp.com/biz/holiday-hills-rv-park-coalville?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421,,40.911066,-111.403867
D Coalville ( 84017 ) Holiday Hills ( 66 ),4 435-336-4421 I-80 Exit 162 ( UT 280 ),D M <U+25A1> D D,Coalville,84017,Holiday Hills ( 66 ),435-336-4421,2015,Coalville,UT,,Exit,162,162,,I-80,,,,,True,True,1,True,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.yelp.com/biz/holiday-hills-rv-park-coalville?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421,,40.911066,-111.403867
D Coalville ( 84017 ) Holiday Hills ( 66 ),4 435-336-4421 I-80 Exit 162 ( UT 280 ),<U+25A1> <U+2610> <U+2610> <U+2610> <U+2610>,Coalville,84017,Holiday Hills ( 66 ),435-336-4421,2016,Coalville,UT,,Exit,162,162,,I-80,,,,,True,True,1,True,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.truckstopsandservices.com/location_details.php?id=1336; http://www.rvandtravelers.com/location_details.php?id=1336,https://www.yelp.com/biz/holiday-hills-rv-park-coalville?adjust_creative=xElCeMfmOucjLmXEMhJkIg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=xElCeMfmOucjLmXEMhJkIg,https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421; https://www.yellowpages.com/search?search_terms=435+336+4421,,40.911066,-111.403867
"E Heber City , 84032 Heber Mart ( Chevron )",435-654-4642 US 40 & US 189 ( 1/2 mi E ),<U+2610> 000,Heber City,84032,Heber Mart ( Chevron ),435-654-4642,2006,Heber City,UT,Chevron,empty,,,,US 40,US 189,,,,True,False,2,True,https://www.truckstopsandservices.com/location_details.php?id=12441; http://www.rvandtravelers.com/location_details.php?id=12441,,,https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642,,40.4875955,-111.408021
Heber Mart ( Chevron ),"FHeber 4435-654-4642 City , 84032 US 40 & US 189 ( 1/2 mi E )",0000 n,,84032,,435-654-4642,2007,Heber City,UT,,empty,,,,US 40,US 189,,,,True,False,2,True,https://www.truckstopsandservices.com/location_details.php?id=12441; http://www.rvandtravelers.com/location_details.php?id=12441,,,https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642,,40.4875955,-111.408021
"Heber City , 84032 K & T's Last Stop ( Chevron )",435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),) <U+2610> 0 <U+2610> <U+2610>,Heber City,84032,K & T's Last Stop ( Chevron ),435-654-4642,2008,Heber City,UT,Chevron,Proper,,,,US 40,,,,,True,False,2,True,https://www.truckstopsandservices.com/location_details.php?id=12441; http://www.rvandtravelers.com/location_details.php?id=12441,,,https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642,,40.4875955,-111.408021
Heber City ( 84032 ) Silver Eagle Country Store,435-654-4642 1590 US 40 S ( 1/2 mi S of jct US 189 ),189 ) <U+25A1> <U+2610><U+2610> <U+25A1>,Heber City,84032,Silver Eagle Country Store,435-654-4642,2014,Heber City,UT,,Proper,,,,US 40,,,,,True,False,2,True,https://www.truckstopsandservices.com/location_details.php?id=12441; http://www.rvandtravelers.com/location_details.php?id=12441,https://www.truckstopsandservices.com/location_details.php?id=12441; http://www.rvandtravelers.com/location_details.php?id=12441,,https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642; https://www.yellowpages.com/search?search_terms=435+654+4642,,40.487707,-111.408197
